domain_id,category_id,name,description
GOV,GOV-01,정책·지침,"정책, 조직, 책임, 경영진, 감사 및 준수"
GOV,GOV-02,조직·역할·경영진,"정책, 조직, 책임, 경영진, 감사 및 준수"
GOV,GOV-03,감사·검토·개선,"정책, 조직, 책임, 경영진, 감사 및 준수"
GOV,GOV-04,준수·문서·프로젝트,"정책, 조직, 책임, 경영진, 감사 및 준수"
RSK,RSK-01,위험 식별·평가,위험의 식별·평가·처리 및 위협 정보
RSK,RSK-02,위험 처리·위협정보,위험의 식별·평가·처리 및 위협 정보
AST,AST-01,자산 식별·목록,"자산과 정보의 식별, 분류, 사용 및 매체 관리"
AST,AST-02,자산 분류·중요도,"자산과 정보의 식별, 분류, 사용 및 매체 관리"
AST,AST-03,자산 사용·반납·매체,"자산과 정보의 식별, 분류, 사용 및 매체 관리"
AST,AST-04,정보 분류·전송·기록보호,"자산과 정보의 식별, 분류, 사용 및 매체 관리"
HUM,HUM-01,채용·신원·서약,임직원 채용부터 퇴직까지의 인적 보안
HUM,HUM-02,교육·인식,임직원 채용부터 퇴직까지의 인적 보안
HUM,HUM-03,직무분리·주요직무,임직원 채용부터 퇴직까지의 인적 보안
HUM,HUM-04,퇴직·직무변경·징계,임직원 채용부터 퇴직까지의 인적 보안
SUP,SUP-01,업체 선정·계약,"외부자, 위탁, 공급자 및 공급망 보안"
SUP,SUP-02,공급망·위탁,"외부자, 위탁, 공급자 및 공급망 보안"
SUP,SUP-03,점검·서비스관리·종료,"외부자, 위탁, 공급자 및 공급망 보안"
PHY,PHY-01,보호구역·출입통제,"시설, 출입, 장비, 환경 및 물리적 보호"
PHY,PHY-02,시설·환경·전원,"시설, 출입, 장비, 환경 및 물리적 보호"
PHY,PHY-03,물리 모니터링,"시설, 출입, 장비, 환경 및 물리적 보호"
PHY,PHY-04,장비·외부자산·유지보수,"시설, 출입, 장비, 환경 및 물리적 보호"
IAM,IAM-01,계정·식별관리,"사용자 식별, 인증, 계정, 권한 및 접근 통제"
IAM,IAM-02,인증·비밀번호·MFA,"사용자 식별, 인증, 계정, 권한 및 접근 통제"
IAM,IAM-03,권한·최소권한,"사용자 식별, 인증, 계정, 권한 및 접근 통제"
IAM,IAM-04,특권·특수권한,"사용자 식별, 인증, 계정, 권한 및 접근 통제"
IAM,IAM-05,정보·시스템 접근통제,"사용자 식별, 인증, 계정, 권한 및 접근 통제"
IAM,IAM-06,원격접근·세션·소스코드,"사용자 식별, 인증, 계정, 권한 및 접근 통제"
CRY,CRY-01,암호정책·저장암호화,암호화 적용과 암호키 관리
CRY,CRY-02,전송 데이터 보호,암호화 적용과 암호키 관리
CRY,CRY-03,암호키 관리,암호화 적용과 암호키 관리
OPS,OPS-01,형상·패치·취약점,"시스템 운영, 형상, 패치, 취약점 및 엔드포인트"
OPS,OPS-02,악성코드·엔드포인트,"시스템 운영, 형상, 패치, 취약점 및 엔드포인트"
OPS,OPS-03,용량·성능,"시스템 운영, 형상, 패치, 취약점 및 엔드포인트"
OPS,OPS-04,운영 소프트웨어·유틸리티,"시스템 운영, 형상, 패치, 취약점 및 엔드포인트"
OPS,OPS-05,서버·DB·서비스 보안,"시스템 운영, 형상, 패치, 취약점 및 엔드포인트"
NET,NET-01,네트워크 접근통제,"네트워크 접근, 분리, 서비스 및 웹/통신 보안"
NET,NET-02,네트워크·서비스 보안,"네트워크 접근, 분리, 서비스 및 웹/통신 보안"
NET,NET-03,네트워크 분리·무선,"네트워크 접근, 분리, 서비스 및 웹/통신 보안"
NET,NET-04,웹·인터넷 보안,"네트워크 접근, 분리, 서비스 및 웹/통신 보안"
LOG,LOG-01,로그 수집·보관·무결성,"로그 수집·보관, 무결성, 모니터링 및 관제"
LOG,LOG-02,모니터링·이상징후·관제,"로그 수집·보관, 무결성, 모니터링 및 관제"
LOG,LOG-03,시각 동기화,"로그 수집·보관, 무결성, 모니터링 및 관제"
DEV,DEV-01,보안 요구사항·SDLC,"개발 생명주기, 코딩, 테스트, 변경 및 개발환경"
DEV,DEV-02,보안 아키텍처,"개발 생명주기, 코딩, 테스트, 변경 및 개발환경"
DEV,DEV-03,보안 코딩·테스트,"개발 생명주기, 코딩, 테스트, 변경 및 개발환경"
DEV,DEV-04,개발·테스트·운영 분리,"개발 생명주기, 코딩, 테스트, 변경 및 개발환경"
DEV,DEV-05,변경관리,"개발 생명주기, 코딩, 테스트, 변경 및 개발환경"
DEV,DEV-06,위탁개발·테스트정보,"개발 생명주기, 코딩, 테스트, 변경 및 개발환경"
INC,INC-01,사고 대응체계·준비,"침해사고 준비, 평가, 대응, 보고 및 사후 개선"
INC,INC-02,이벤트 평가·보고,"침해사고 준비, 평가, 대응, 보고 및 사후 개선"
INC,INC-03,사고대응·증거수집,"침해사고 준비, 평가, 대응, 보고 및 사후 개선"
INC,INC-04,사후개선·모의훈련,"침해사고 준비, 평가, 대응, 보고 및 사후 개선"
BCP,BCP-01,백업·복구,"백업, 이중화, 업무연속성 및 재해복구"
BCP,BCP-02,이중화·복제,"백업, 이중화, 업무연속성 및 재해복구"
BCP,BCP-03,BIA·DRP·RTO/RPO,"백업, 이중화, 업무연속성 및 재해복구"
BCP,BCP-04,업무연속성·재해복구훈련,"백업, 이중화, 업무연속성 및 재해복구"
DAT,DAT-01,개인정보 수집·이용,"개인정보와 중요 데이터의 수집, 이용, 제공, 보관, 파기 및 보호"
DAT,DAT-02,제3자 제공·위탁·국외이전,"개인정보와 중요 데이터의 수집, 이용, 제공, 보관, 파기 및 보호"
DAT,DAT-03,보유·파기,"개인정보와 중요 데이터의 수집, 이용, 제공, 보관, 파기 및 보호"
DAT,DAT-04,정보주체 권리보장,"개인정보와 중요 데이터의 수집, 이용, 제공, 보관, 파기 및 보호"
DAT,DAT-05,데이터 마스킹·비식별화,"개인정보와 중요 데이터의 수집, 이용, 제공, 보관, 파기 및 보호"
DAT,DAT-06,데이터 유출방지,"개인정보와 중요 데이터의 수집, 이용, 제공, 보관, 파기 및 보호"
DAT,DAT-07,중요정보 처리·보호,"개인정보와 중요 데이터의 수집, 이용, 제공, 보관, 파기 및 보호"
CLD,CLD-01,클라우드 거버넌스·책임,"클라우드 서비스, 가상화, 테넌트 및 클라우드 자원 보호"
CLD,CLD-02,가상화·하이퍼바이저 보안,"클라우드 서비스, 가상화, 테넌트 및 클라우드 자원 보호"
CLD,CLD-03,테넌트·자원 격리,"클라우드 서비스, 가상화, 테넌트 및 클라우드 자원 보호"
CLD,CLD-04,클라우드 특화 보호조치,"클라우드 서비스, 가상화, 테넌트 및 클라우드 자원 보호"
